,open,high,low,close,volume,SMA,EMA,WMA,DEMA,TEMA,TRIMA,KAMA,T3,FAMA,MAMA,MACD,MACD_Hist,MACD_Signal,SlowD,SlowK,FastD,FastK,FastD,FastK,RSI,CMO,APO,WILLR,ADX,ADXR,CCI,Aroon Down,Aroon Up,AROONOSC,MFI,DX,MINUS_DI,PLUS_DI,MINUS_DM,PLUS_DM,ULTOSC,MOM,ROC,ROCR,TRIX,BOP,TRANGE,SAR,ATR,NATR,Chaikin A/D,ADOSC,OBV,target1d,target1w,target1m
2000-02-17,115.19,115.5,113.12,114.87,2584800,0.8668,0.8618,0.8729,0.8848,0.8881,0.8666,0.8374,0.8559,0.0591,0.3773,0.0284,0.005,0.0234,69.8367,66.2675,66.2675,56.6296,58.2327,41.1596,56.9937,13.9874,0.0284,-31.0662,12.8203,15.4604,45.5755,0,80,80,58.8325,7.3631,21.5222,24.9436,0.0979,0.1135,55.9684,0.0882,11.1896,1.1119,0.5409,-0.1345,0.0182,0.7089,0.0455,5.1907,-685499250.4381,306063248.0113,7882579074,-0.006529119874640898,-0.011926525637677413,-0.07234264821102117
2000-02-18,114.62,115.37,110.87,111.25,2084300,0.8693,0.8595,0.8697,0.8765,0.8742,0.8696,0.8376,0.8618,0.0607,0.3821,0.0292,0.0051,0.0241,61.8092,43.3589,43.3589,23.2332,24.8994,0.0,51.2753,2.5505,0.0292,-62.0714,11.6907,14.4166,-46.5518,0,70,70,50.0411,1.5237,23.7257,23.0136,0.1053,0.1022,54.183,0.0248,3.0093,1.0301,0.5241,-0.7489,0.0343,0.7111,0.0444,5.2282,-879515351.6427,218553541.5331,7649137241,0.03253932584269667,-0.02247191011235955,0.020224719101123594
2000-02-22,110.12,116.94,106.69,113.81,3770500,0.8691,0.8612,0.8696,0.8765,0.8732,0.872,0.8378,0.8665,0.0624,0.3869,0.0309,0.0058,0.0251,51.3864,44.5329,44.5329,53.7358,23.0142,27.8831,54.836,9.6719,0.0309,-46.2642,12.111,14.4329,-55.7951,0,60,60,37.5751,15.894,26.5186,19.2449,0.1267,0.0919,56.1329,-0.0019,-0.2192,0.9978,0.5016,0.36,0.0782,0.7133,0.0478,5.5001,-715128744.4473,215190441.9421,8071433663,-0.022493629733766823,0.017573148229505314,-0.021966435286881643
2000-02-23,113.23,119.0,111.0,116.25,4224100,0.8702,0.8659,0.8729,0.8823,0.8806,0.8732,0.8382,0.8707,0.064,0.3919,0.0315,0.0057,0.0258,46.4783,51.5432,51.5432,77.6604,42.6277,100.0,58.0802,16.1603,0.0315,-27.8491,11.6317,14.1484,69.0655,90,50,-40,38.8352,7.3185,23.2209,20.0538,0.114,0.0985,61.7591,0.0105,1.2014,1.012,0.4885,0.3775,0.0611,0.7154,0.0491,5.5344,-567285096.6343,241293021.6915,8544533336,-0.020989247311827938,0.023655913978494623,-0.08602150537634409
2000-02-24,117.31,119.12,111.75,115.2,3361000,0.8721,0.8684,0.8746,0.8838,0.8815,0.8736,0.8387,0.8744,0.0657,0.3968,0.0289,0.0025,0.0264,54.232,66.6199,66.6199,68.4634,66.514,71.659,56.1516,12.3032,0.0289,-35.7736,11.1493,13.4325,56.2541,80,40,-40,37.9453,6.807,20.5989,17.9733,0.1026,0.0895,55.7765,0.0197,2.2909,1.0229,0.4727,-0.2863,0.0563,0.7175,0.0498,5.6661,-591290960.5031,222397391.1134,8168100960,0.009114583333333308,-0.009374999999999986,-0.025607638888888912
2000-02-25,114.81,117.0,110.12,110.37,2224500,0.8697,0.8637,0.8692,0.8724,0.8651,0.8725,0.8387,0.8766,0.0674,0.4013,0.0249,-0.0019,0.0269,58.9132,58.5765,58.5765,29.6058,57.2197,0.0,48.0045,-3.9911,0.0249,-72.2264,11.3405,12.7989,-57.1278,70,30,-40,38.5203,13.0612,20.9232,16.089,0.1048,0.0806,48.1255,-0.0239,-2.7577,0.9724,0.4273,-0.6453,0.0525,0.7196,0.0501,5.946,-822328796.0591,120937377.1896,7918956711,0.043761891818428905,0.040771948899157376,-0.0016308779559663568
2000-02-28,110.12,115.0,108.37,113.25,2931500,0.8732,0.8638,0.8682,0.8711,0.8639,0.8716,0.8393,0.8778,0.0691,0.4059,0.0254,-0.0022,0.0276,58.4927,50.2816,50.2816,52.7755,38.9716,45.2559,52.5643,5.1286,0.0254,-50.4906,12.1569,12.8422,-85.172,60,20,-40,37.267,19.5053,21.4755,14.4651,0.1077,0.0725,51.1135,0.0343,4.1379,1.0414,0.3833,0.4721,0.0506,0.7217,0.0501,5.8008,-667326131.4035,117755730.5031,8247285039,-0.0254304635761589,-0.017660044150110375,-0.02869757174392936
2000-02-29,113.56,117.25,112.56,114.62,3294300,0.8723,0.8658,0.8685,0.8734,0.8678,0.8702,0.8396,0.8784,0.0708,0.4106,0.0252,-0.0026,0.0278,51.8995,46.8403,46.8403,58.1395,37.1225,66.1115,54.6657,9.3313,0.0252,-40.1509,11.7475,12.924,24.9683,50,10,-40,37.3686,8.0626,19.8971,16.928,0.0969,0.0825,49.5526,-0.0091,-1.0275,0.9897,0.3489,0.226,0.0358,0.7238,0.0487,5.5675,-712167991.0653,91481216.9205,8616247007,-0.011952538823940016,-0.007066829523643362,-0.11341825161402896
2000-03-01,118.56,132.06,118.5,130.31,9616100,0.8809,0.8893,0.8908,0.9147,0.9246,0.873,0.8481,0.8816,0.0725,0.4164,0.0318,0.0033,0.0285,54.9882,67.8427,67.8427,92.6129,70.4558,100.0,71.0084,42.0168,0.0318,-6.8979,14.2172,13.8219,320.502,40,100,60,47.469,36.4441,15.2623,32.7657,0.0872,0.1873,61.2335,0.0863,9.5042,1.095,0.406,0.8665,0.1331,0.7258,0.0572,5.7457,86848456.3361,326648583.9989,9693251284,-0.12040518762949887,-0.10789655437034765,-0.20382165605095542
2000-03-02,127.0,127.94,120.69,122.0,2779100,0.8869,0.8969,0.9,0.9239,0.9334,0.8781,0.8506,0.8866,0.0742,0.4216,0.0329,0.0039,0.029,61.3707,69.4291,69.4291,57.5348,70.6959,45.9761,58.5808,17.1615,0.0329,-39.6531,16.4399,14.6301,135.8292,30,90,60,47.9525,36.4441,13.3556,28.6723,0.0785,0.1685,54.3486,0.0601,6.905,1.0691,0.4595,-0.6897,0.0734,0.7314,0.0588,6.3119,-111928307.2342,329910938.1224,9381991773,0.06811475409836068,-0.05573770491803277,-0.17827868852459017
